大丈夫、大丈夫。	It's okay.
こんにちは。	Welcome.
北京には自転車が９００万台ある。	There are nine million bicycles in Beijing.
誰が言おうとそれは真実ではない。	"No matter who says so, it's not true."
何か冷たいもの飲みたい。	I want to drink something cold.
ボストンにはたくさんの友達が住んでるんだ。	I have lots of friends living in Boston.
トムっていいヤツ？	Is Tom good?
トムはメアリーと一緒なの？	Is Tom with Mary?
このバスは街中に行きますか？	Does this bus go to the center of town?
あしたはよい天気だと思います。	My guess is that it will be fine tomorrow.
その歌を聞くといつも子供の頃を思い出す。	That song always reminds me of my childhood.
１学期は４月から始まる。	The first term starts in April.
彼女は数年間フランス語を勉強している。	She has been studying French for a few years.
好きな動物は何ですか？	What is your favorite animal?
早急なお返事をお待ちしております。	I am looking forward to hearing from you soon.
彼女の曲はどれもヒットした。	Every one of her songs was a hit.
子供みたいなことをするんなら、そのように扱われるってことだよ。	"If you act like a child, you will be treated as such."
この件について延々と語ってもいいのですが、やめておきます。	"I could go on and on about it, but I won't."
コショウは入れない方がいいんじゃないかな？	Maybe it's best not to add pepper.
何が得意なのですか。	What're you good at?
どうやって学校に行ってるの？	How do you go to school?
アイスクリームを２つ下さい。	"Two ice creams, please."
もう少し考えさせてください。	Let me think about it a little longer.
トムは本当にオーストラリア出身だと思う？	Do you really think Tom is from Australia?
クラスのみんなともっと仲良くしておけばよかった。	I should have tried to get along with my classmates better.
5年後に戦争が始まった。	War began five years later.
生い立ちを知らない人にネイティブみたいに聞こえるよって言われたら、それはおそらく、あなたの喋り方のどこかが、ネイティブじゃないと感じさせたってことだよ。つまりね、ネイティブのようには聞こえないということなんだよ。	"If someone who doesn't know your background says that you sound like a native speaker, it means they probably noticed something about your speaking that made them realize you weren't a native speaker. In other words, you don't really sound like a native speaker."
コートを脱いでください。	Please take off your coat.
もし今日店が閉まっていたら、明日また行くことにするよ。	"If the shop is closed today, I'll try again tomorrow."
父は健康状態を取り戻した。	My father got well again.
彼らはフェンスを緑色に塗った。	They painted the fence green.
彼はつりの専門家だ。	He is an expert at fishing.
トムは芸術についてよく知らない。	Tom doesn't know much about art.
私はオーストラリアへ３度行ったことがある。	I've been to Australia three times.
私はあぶなく車にひかれる所だった。	I was nearly hit by a car.
電話ありがとう。	I appreciate you calling me.
私は部屋を掃除したい。	I want to clean my room.
１０軒の家がすっかり燃えた。	Ten houses were burned down.
トムはメアリーの家まで送った。	Tom sent Mary home.
メアリーがそんなに早く来るとは思いもかけなかった。	I didn't expect that Mary would come so soon.
トムが勝つことを信じているよね？	"You believe Tom will win, don't you?"
向こうの交番で聞いてください。	Ask at the police box over there.
良くなりました。	That's better.
人は興奮すると大声を出す傾向がある。	People have the tendency to speak more loudly when they get excited.
かねがねお会いしたく思っていました。	I've been looking forward to meeting you.
もうそろそろ失礼しなくては。	"Well, I have to be going."
久しぶりだね。	I haven't seen you for a long time.
何か食べたい？	Would you like anything to eat?
この本を今日返さないといけない。	I have to return this book today.
彼は教師です。	He is a teacher.
トムはメアリーにちょっかいを出した。	Tom teased Mary.
飛行機から見ると、その島々はとてもきれいだった。	"Seen from the plane, the islands were very pretty."
私のせい？	Is that my fault?
今日は少しすずしい。	It is a little cool today.
トムって本当にマネージャーなの？	Is Tom really the manager?
トムに賛成でしょ？	"You agree with Tom, don't you?"
ついに私たちは湖に着いた。	Finally we arrived at the lake.
彼は遅くまで残って残業した。	He stayed late and worked overtime.
ファーストキスは、もっとロマンチックなの想像してたのに。	I imagined my first kiss would be more romantic.
約一時間後にトムが泊まっているホテルの前でトムと落ち合うように。	You're supposed to meet Tom in front of his hotel in about an hour.
信じられないだろうけど、その洞窟から怪獣が現れたんだ。	"Believe it or not, a monster emerged from the cave."
火薬を発明した人が誰か、知ってる？	Do you know who invented gunpowder?
彼女は頭を枕にのせた。	She laid her head down on the pillow.
休暇、楽しんできてね。	Have a nice vacation.
梨を食べています。	I'm eating a pear.
すぐ出発してと彼に頼んだ。	I asked him to leave at once.
君は最善をつくさなければならない。	You must do your best.
誰にも言わないよ。	I won't tell anyone.
ショッピングセンターはどこですか。	Where's the shopping center?
なんてきれいな花だ。	What a beautiful flower!
この天気が日曜日まで持てばいいなあ。	I hope the weather will hold until Sunday.
まもなく天気になるでしょう。	It will clear up soon.
疲れました。	I'm tired.
トムはメアリーにフランス語で手紙を書いたんだよ。	Tom wrote a letter to Mary in French.
怖がる理由はないよ。	You have no reason to be afraid.
今日はほとんど風がない。	There is little wind today.
みんな鉛筆はある？	Does everybody have a pencil?
目を開けておくのよ。	Keep your eyes open.
彼は若い頃貧しかったらしい。	He seems to have been poor when he was young.
あいつとはどうも相性が合わないんだ。	I don't get along with that guy.
トムは自分の意見を言うのにいつでもどぎまぎしてしまう。	Tom never felt comfortable expressing his own opinion.
彼女は木から落ちた。	She fell from the tree.
この語は何と言う意味か。	What's the meaning of this word?
この辺りに熊は出ますか？	Are there any bears around here?
好きなだけここにいてもいいんですよ。	You may stay here as long as you like.
宿題が終わるまで待ってください。	Please wait till I have finished my homework.
僕は駅で彼に会った。	I met him at the station.
早く行かないと明るいうちに着かないぞ。	"You'd better hurry, otherwise you won't get there before dark."
私の方が背が高い。	I am taller.
どこでタクシーに乗れますか。	Where can I get a taxi?
なんておいしいスープなんだろう。	This soup tastes really great.
１１時の列車に乗るつもりです。	I'm catching the 11:00 train.
昨夜、君の夢を見たよ。	I had a dream about you last night.
トムとメアリーはとても素敵な家で暮らしている。	Tom and Mary live in a very nice house.
公園を散歩しに行った。	I went for a walk in the park.
雨のために来られませんでした。	I couldn't come because of the rain.
トムはまだ来てません。	Tom hasn't yet arrived.
息子にドアの修理をしてもらった。	I got my son to fix the door.
それがどんなに辛くてもその仕事をすることに決めた。	I made up my mind to do the work no matter how hard it might be.
彼は黙っていた。	He remained silent.
他人が悪い事をしているからといって自分もそうしてよいということにはならない。	Two wrongs don't make a right.
夕方から雨が降り出した。	It began to rain in the evening.
子供って、肝油を嫌うね。	Children hate cod liver oil.
彼女はあなたほど流暢に英語を話せない。	She doesn't speak English as fluently as you.
先週そのお寺を訪問するつもりだったんです。	I had intended to visit the temple last week.
疲れたから、早く寝よっと。	"I'm tired, so I'm going to go to bed early."
彼を除いて、他の誰もパーティーには来なかった。	"With the exception of him, nobody else came to the party."
ごきょうだいはいますか？	Do you have any siblings?
彼らは２度と祖国へ戻ることはなかった。	They were never to return to their country.
あなたはそのことについてトムと話すつもりなのだと思っていました。	I thought you were going to talk to Tom about it.
彼は私の父と同じ位の身長です。	He is as tall as my father.
私は電話でピザを注文した。	I ordered a pizza on the phone.
もうすぐ何かが起こりそうな気がする。	I feel that something is going to happen really soon.
当時私は学生だった。	I was a student at that time.
すぐに帰ってきて下さい。	Please come back at once.
駅までの道は彼に聞いて。	Ask him the way to station.
夏はどうだった？	How was your summer?
君は本を書くべきだ。	You ought to write a book.
彼は私の部屋に入ってきた。	He came into my room.
彼女は調子外れに歌う。	She sings out of tune.
彼はかろうじて轢かれるのをまぬがれた。	He narrowly escaped being run over.
私の持っている本はこの１冊だけです。	This is the only book I have.
それ食べるつもり？	Are you going to eat that?
彼は上着を着ていなかった。	He had no coat on.
３人にはこの食事で十分だ。	This meal is adequate for three.
何も食べたくない。	I don't feel like eating anything.
彼らは泳ぎ方を知っている。	They know how to swim.
彼女は叔母に似ている。	She resembles her aunt.
とても感謝してるわ。	I'm very grateful to you.
君が刑務所を出る頃には彼女は結婚しているよ。	"By the time you get out of prison, she'll be married."
あなたが来るのを楽しみにしています。	I'm looking forward to your visit.
2015年９月の日本の失業率は3.4パーセントだった。	The unemployment rate in Japan was 3.4 percent in September of 2015.
出身はオーストラリアです。	I'm from Australia.
トムは助けを申し出なかった。	Tom didn't offer to help.
彼は入り口に立っていた。	He was standing at the door.
水はほとんど残っていない。	There is little water left.
話を続けて下さい。	Please go on with your story.
私は温室でランを栽培している。	I grow orchids in my greenhouse.
１０分間、休憩をとりましょう。	Let's have a ten-minute break.
この川は何というのですか。	What is the name of this river?
１ドルをくずしてくれませんか。	Could you give me change for a dollar?
彼女はどうにか車の運転ができるようになった。	She managed to learn how to drive a car.
彼は私の電話番号を手に入れたがっていた。	He wanted to get my phone number.
役に立つはずだ。	This ought to help.
大抵ここで朝ごはんを食べてるよ。	I usually eat breakfast here.
そんなことをしたら逆効果になる。	It would be counter-productive to do such a thing.
ようやく、この三週間に受信したメールの返信を書く時間ができました。	I finally have time to reply to the mail that I have received these past three weeks.
トムはライトをつけた。	Tom turned the light on.
何が起きてるのかわかってる？	Do you realize what's happening?
このペンはいくらしますか。	What does this pen cost?
会社は秘書を新しく二人雇うことにした。	The company decided to hire two new secretaries.
カップが割れた。	The cup broke.
テレビはほとんど見ません。	I almost never watch TV.
あなたのことが大好きです。	I like you very much.
彼はお金がなかったので、食べ物を買うことができなかった。	He had no money and so could not buy any food.
何か文句ある？	Do you have a complaint to make?
留守中いい子でいるんですよ。	Behave yourself while I'm gone.
私の父も兄もどちらも賭事が好きです。	Both my father and my brother are fond of gambling.
またトムが同じミスをやらかした。	Tom made the same mistake again.
それやったのって、トムだったの？	Was it Tom who did that?
彼女は空き地に駐車した。	She parked her car in a vacant lot.
あれ、めっちゃいい車だよ。	That's a very good car.
彼女は夜間学校に通っている。	She attends school at night.
彼はたいてい8時に仕事に行く。	He usually goes to work at 8 a.m.
来年の今ごろ、私達は必死に勉強しているでしょう。	We will be studying very hard this time next year.
待って！	Wait up.
遊びじゃないんだ。	It's not a game.
私は日焼けをした。	I got sunburned.
彼女は昨夜安らかに息を引き取った。	She passed away peacefully last night.
彼は辛抱強かった。	He was patient.
すみません、お待たせしました。	I am sorry to have kept you waiting so long.
９０度の角度は直角と呼ばれている。	An angle of 90 degrees is called a right angle.
価格に関して話し合いたいのですが。	I'd like to discuss pricing with you.
私は父と話が合わない。	I don't see eye to eye with my father.
私の両親は愛知県で生まれた。	My parents were born in Aichi Prefecture.
どのカップがあなたのですか。	Which cup is yours?
あなたは英語を勉強していますか。	Are you studying English?
彼女はどうしても彼を部屋の中に入れようとしなかった。	She wouldn't let him in.
トムはメアリーを慰めている。	Tom is consoling Mary.
彼女は公園を歩いているとき偶然昔の友達と出会った。	She ran across her old friend while walking in the park.
どうやってトムを笑わせたの？	How did you get Tom to laugh?
もう5分待ってみましょう。	What do you say to waiting five more minutes?
私たちはビーガンではないですよ。	We aren't vegan.
レンタカーもしたいです。	I would also like to rent a car.
辛抱しなさい。	Be patient.
トムはメアリーと別れてからアリスと付き合い始めた。	"After Tom broke up with Mary, he started dating Alice."
その時私は家に居ました。	I was at home then.
トムがいません。	Tom isn't in.
のどが痛いんだけど、のど飴持ってない？	I have a sore throat. Do you have a cough drop?
彼の詩は理解するのが難しい。	His poems are difficult to understand.
このメガネいくらしたの？	How much did these glasses cost?
彼女は皿から肉を取った。	She took some meat from the plate.
これを見せてください。	Can I see this one?
その辺に誰かいる？	Is there anyone else around?
彼は独房に入れられた。	He was put in a cell.
無茶なことするなよ。	Don't do anything stupid.
帰りがけに郵便局に寄るよ。	I'll stop by the post office on the way home.
彼女は間違っている。	She is in the wrong.
私はあなたが送ってくれた手紙を読んでいました。	I was rereading the letters you sent to me.
彼は腹をたてた。	He got angry.
彼女は私に来ると約束したよ。	She promised me that she'd come.
風邪をひきました。	I have caught a cold.
全然変だと思わないんだけど。	I don't think it's strange at all.
６時にお会いする約束ですが。	I have an appointment with him at six.
この建物にはスプリンクラーがあると思っていました。	I thought this building had a sprinkler system.
トムは分かってる。	Tom understands.
彼はとても頑健だ。	He is strong as a horse.
月曜日が大好き。	I love Monday!
私はちゃんとした庭付きの家が欲しい。	I want to have a proper house and garden.
トムのお母さんですか？	Are you Tom's mother?
着てみていいですか。	May I try it on?
私はエアコンのない部屋で寝るのに慣れている。	I'm accustomed to sleeping in a room without air conditioning.
その少年は先週末、野球のボールで窓ガラスを割った。	The boy broke the window with a baseball last weekend.
トムは夜間学校に通っている。	Tom goes to night school.
彼らは電話でその件について話し合った。	They talked about it on the telephone.
もちろん！	Definitely!
トムがピアノを弾き、メアリーが歌った。	Tom played the piano and Mary sang.
遅くても深夜０時までには家に帰ります。	I'll be home by midnight at the latest.
もし彼の後押しがあったならば、彼女は市長に選ばれていただろう。	"With his support, she might have been elected mayor."
トムがね、私がどこで生まれたか聞いてきたんだ。	Tom asked me where I was born.
たぶん彼女は来るだろう。	It is probable that she will come.
君にそれはできないと思う。	I guess that you can't do it.
教師になって１５年になる。	I have been a teacher for 15 years.
トムは左右を見ずに道路に飛び出した。	Tom rushed out onto the road without looking both ways.
見せびらかすなよ。	Don't show off.
もう終わったかい？	Have you finished yet?
誰しも礼儀正しい人が好きだ。	Everybody likes polite people.
駅に着くのにどのくらいかかりますか。	How long does it take to get to the station?
直す価値がある？	Is it worth fixing?
トムは自分の書類かばんの中を見てみた。	Tom looked in his briefcase.
彼はときどき私に手紙を書くことを約束した。	He promised that he would write to me once in a while.
彼はたばこをやめた。	He has stopped smoking.
トムって誰？	Who's Tom?
駅まで乗せていってもらえませんか。	Could you give me a lift to the train station?
この本は私が読むには難しい。	This book is hard for me to read.
こちらが私の妹です。	This is my sister.
ドアを閉めて下さい。	"Close the door, please."
彼はいわゆる優等生だ。	He's what we call an honor student.
トムはメアリーを平手打ちした。	Tom slapped Mary.
私は買い物に行くよう頼まれるのが好きではない。	I don't like being asked to go shopping.
これは食べ物です。	This is food.
天気が持つかなあ。	I wonder whether or not the weather will hold.
選挙は5月16日に行われた。	The vote took place on May sixteenth.
この本はとても重い。	This book is very heavy.
彼が仕事を辞めると決めていたとは知らなかった。	I didn't know he had decided to leave his job.
私はその点で彼と意見が一致した。	I agreed with him on that point.
本当に忙しいんだ、とトムは私に言った。	Tom told me he was really busy.
五ドルある？	Do you have five dollars?
昨日は天気が悪かった。	We had bad weather yesterday.
水泳好きなの？	Are you fond of swimming?
トムのケガはどれくらいひどいの？	How bad are Tom's injuries?
あいつの慇懃無礼なものの言い方、思い出すだけで不愉快になるよ。	I find just the memory of his overly polite patronizing manner really offensive.
彼女の新作の小説は来月出版される。	Her new novel will come out next month.
その運動は腹筋に良い。	That exercise is good for the abdominal muscles.
集まりは年に一度開かれる。	The meeting is held annually.
彼はヘビを全然怖がらない。	He's not at all afraid of snakes.
あなたの血液型は何ですか。	What's your blood type?
彼は苦労して働いて財産をためた。	He accumulated his fortune by hard work.
あ、いいこと思いついた。	"Hey, I just had a good idea."
夏休みの間にそれをした。	I did that during the summer holidays.
トムは全然手伝ってくれなかったってこと？	Are you saying Tom didn't help at all?
ひまわり油を運ぶ際は、注意してください。	Be careful when carrying sunflower oil.
彼は職探しに忙しい。	He is busy with job hunting.
彼は機敏に動いて火事を消し止めた。	He acted quickly and put out the fire.
彼女は明らかに病気だ。	She is evidently sick.
日本では新学年は４月に始まる。	"In Japan, the new school year begins in April."
出来る限りお手伝いしましょう。	I'll help you as much as I can.
同盟軍はバグダッドの検問所で彼女の車を襲撃した。	The coalition force fired at her car at the checkpoint in Bagdad.
６を２で割ると３になります。	Six divided by two is three.
次々に動物が死んだ。	"One after another, the animals died."
それは望ましい結果とは言えない。	I can't say that's the result I was hoping for.
彼は無実だと確信している。	I bet my bottom dollar he is innocent.
昨夜はなにか食べましたか。	Did you eat something last night?
陸路ではそこへ行けない。	The place isn't accessible by land.
任せろよ。	Leave it to me.
こんなにかかるとは思っていなかった。	I didn't think it would take this long.
ロンドンは東京に比べて小さい。	"Compared to Tokyo, London is small."
彼女は昨日の午後に亡くなった。	She died yesterday afternoon.
済んだことはしかたがない。	What is done cannot be undone.
無関係です。	That has nothing to do with me.
理論上はそれは可能だけれど実際にはとても難しい。	"In theory it is possible, but in practice it is very difficult."
タクシーが到着した。	The taxi has arrived.
彼女は料理がうまいと自慢している。	She boasts that she's good at cooking.
理由は誰も分からない。	Nobody knows why.
これを現金に換えていただけますか。	Can you cash these for me?
「彼はすぐよくなるでしょうか」「そうは思いません」	"Will he recover soon? ""I'm afraid not."""
彼女が来るなんて聞いていない。	I've not heard that she will come.
皿洗いを手伝ってもらえる？	Can you help me wash these dishes?
私は、ちょうどバスが出た後にバス停に着いた。	I arrived at the bus stop just after the bus left.
ごめんなさい。時間があまりないんです。	I'm sorry. I don't have a lot of time.
本当に寒くないの？	Are you sure you aren't cold?
私には２人兄弟がいます。	I have two brothers.
おばあちゃんは火のそばの椅子に座って、とてもくつろいでいるように見える。	Grandmother looks very comfortable in that chair beside the fire.
私たちは日曜日によくトランプをする。	We often play cards on Sunday.
どこからそんな噂が出たんだろう。	I wonder who started that rumor.
私の甥っ子、卵アレルギーなんだ。	My nephew is allergic to eggs.
彼には我慢できない。	I can't stand him.
言語によって私たちはお互いに意思疎通をはかっている。	We communicate with one another by means of language.
彼は少しずつよくなっています。	He is getting better bit by bit.
友達んちは大家族なんだよ。	My friend has a large family.
ついに私たちは湖に着いた。	We finally arrived at the lake.
今日から毎日体重量ることにした。	I have decided to weigh myself every day starting today.
偽物にご注意。	Beware of imitations.
来る日も来る日も雨だった。	It rained day after day.
僕のせいにするなよ。	Don't blame me.
なんでみんなまだ起きてんの？	Why are you all still awake?
シャワールームから時々父の歌声が聞こえてくる。	I sometimes hear my father singing in the shower.
愛のない人生など全く無意味だ。	Life without love is just totally pointless.
なんでこの写真燃やしてるの？	Why are you burning these pictures?
去年の冬、彼女に出会った。	I met her in the winter of last year.
日一日と暖かくなって来る。	It is becoming warmer day by day.
私は、その試合を最初から最後まで見た。	I watched the game from beginning to end.
力を合わせれば、これを終わらせられるだろう。	"If we unite our efforts, we'll be able to finish this."
昨日はありがとうございました。	Thank you for yesterday.
修正しました。	I've corrected it.
１００万円獲得したら、どうしますか。	"If you won a million yen, what would you do?"
あり得ねぇー。	It's very unlikely.
いったい何が起こっているのか。	What is going on?
ミーティングは終わりました。	The meeting was closed.
私に対して怒ってるんでしょう。	"You're upset with me, aren't you?"
私たちは税金を納めなければならない。	We must pay the tax.
私は映画が大好きです。	I like movies a lot.
月曜日に会いましょう。	See you Monday.
トムはメアリーを傷つけた。	Tom offended Mary.
トムもメアリーも、まだボストンに住んでるの？	Are both Tom and Mary still living in Boston?
水をください。	Please give me some water.
少し待って下さい。	"Hold on, please."
トムは何で疲れてるの？	Why is Tom tired?
何をやるにしても、彼は上手にこなす。	"No matter what he does, he does it well."
それで気分はよくなる。	It makes me feel better.
トムに教えて。	Tell Tom.
本は持っていっても構いませんよ。	You may take the book.
たぶん雨が降るでしょう。	It'll probably rain.
勘定書をお願いします。	"The bill, please."
トムは滅多に旅行しない。	Tom seldom travels.
どう、仕事は？	How are things at work?
お皿を洗うのを手伝いましょうか。	Would you like me to help you wash the dishes?
もう出かけたほうがよさそうだ。	I may as well go now.
トムならボストンに行ったって聞いたよ。	I heard that Tom went to Boston.
例外は作るべきではないと思います。	I don't think an exception should be made.
トムとメアリーはひそかに結婚していると思う。	I think Tom and Mary are secretly married.
労働者たちは人垣を作った。	The laborers formed a human barricade.
少々おまちください。	"Hold on a minute, please."
それは日本人形だ。	That is a Japanese doll.
躊躇うものは失敗する。	He who hesitates is lost.
トムとメアリーはしばらくの間ボストンで暮らしていた。	Tom and Mary lived in Boston for a while.
こないだ生まれて初めて釣りに行った。	The other day I went fishing for the first time in my life.
ゴミ出しといて。	Take out the trash.
私はテニスをするためにその公園に行きました。	I went to the park to play tennis.
それよりもっと小さいものはありませんか?	Don't you have anything smaller than that?
個人に関する情報は、教えないのが私どもの方針です。	It is our policy not to give out personal information.
君の誕生日プレゼントにペンを買ったよ。	I bought a pen for your birthday present.
これは私のノートです。	This is my notebook.
トムは帰宅して宿題をした。	Tom came home and did his homework.
トムはちょっと楽観的過ぎると思う。	I think Tom is a little too optimistic.
９月に復学することを彼は切望した。	He was eager to return to school in September.
トムはいつも幸せそうにしている。	Tom always looks happy.
旅行はお好きですか？	Do you like trips?
その会話には参加してなかったんだ。	I didn't take part in the conversation.
お酒飲んでるの？	Are you drinking?
私はどこで彼女を待ったらよいかわからなかった。	I didn't know where I should wait for her.
彼は昨年遺書を書いた。	He made a will last year.
昔は電器屋さんで働いていたんだよ。	I used to work in an electronics store.
僕と一緒に来ない？	Will you come with me?
トムは署名するのを忘れた。	Tom forgot to sign his name.
それは本当に悲しいことです。	That's really sad.
詩を他の言語に翻訳するのは難しい。	It is difficult to translate a poem into another language.
その赤ちゃんはどうして泣くの？	Why is that baby crying?
あなたが家に帰って来た時、お母さんは何をしていましたか。	What was your mother doing when you got home?
日本ではリヒター・スケールでマグニチュード5.0以上の余震が今週5回ありました。しかし科学者たちは、最大規模の余震はまだ先に起こりうると警告しています。	"Five tremors in excess of magnitude 5.0 on the Richter scale have shaken Japan just this week, but scientists are warning that the largest expected aftershock has yet to hit."
牛の乳搾りってしたことある？	Have you ever milked a cow?
日の当たるところに長いこといたら駄目だよ。	Don't stay in the sun too long.
トムが勝つ見込みはないな。	There's no chance Tom will win.
何も知らないふりしてよ。	Pretend you don't know anything.
警官は懐中電灯で車に止まれと合図をした。	The policeman signaled the car to stop with a flashlight.
トムは運転した。	Tom drove.
日本の大企業の多くは輸出に依存している。	The majority of large Japanese companies depend on exports.
彼は奇妙な考えを持っている。	He has strange ideas.
おじはホテルを経営している。	My uncle runs a hotel.
俺たちは美術館に行った。	We went to the museum.
ペン借りていい？	Can I borrow your pen?
僕はお父さんが帰ってくる前に眠ってしまった。	I fell asleep before my father came home.
やったね！	Congratulations!
トムはね、クッキーをちょくちょく焼くんだ。	Tom often bakes cookies.
目の周りに黒いあざができてしまった。	I have a black eye.
グレアム・グリーンは私のお気に入りの作家です。	Graham Greene is my favorite author.
その男はアンテナを取り付けようとした。	The man tried to install his own antenna.
彼女は彼を毎日６時３０分に起こしている。	She wakes him up every day at 6:30.
君のプロフィール写真、変えた方がいいと思うよ。	I think you'd better change your profile picture.
（君を）からかってないよ。	I'm not making fun of you.
りんごが嫌いな子どももいる。	Some children don't like apples.
他に何か知りたいことはある？	Is there anything else that you want to know?
あの茶色いのも私のです。	"That brown one is mine, too."
裏庭には2羽、庭には2羽鶏がいる。	There are two chickens in the backyard and two in the front yard.
彼は父親にとてもよく似ている。	He resembles his father very much.
みんな元気にしてる？	Are you all doing well?
風が強いな。	It's windy.
あなたにこの問題が解けますか?	Can you solve this problem?
約束の日が迫っている。	The appointed day is close at hand.
離婚しようか。	Let's get divorced.
トムは名札を付けてるね。	"Tom is wearing a name tag, isn't he?"
あなたの答えで間違いない？	Are you sure of your answer?
近いうちにお会いしたいですね。	I hope to see you soon.
彼女は料理のことならなんでも知っている。	She has an encyclopedic knowledge of cooking.
トム、10秒でいいから黙っててくれない？	"Tom, could you shut up for just ten seconds?"
もしかして、トムはメアリーに車を運転させたのかい？	"Did Tom, by any chance, let Mary drive the car?"
トムとメアリーはお互いに英語で会話をしている。	Tom and Mary speak to each other in English.
忘れ物ない？	Did you forget anything?
それは本当だと信じてるよ。	I believe that that's true.
トムのお父さんはお金持ちです。	Tom's dad is rich.
彼女は勇ましかった。	She was brave.
今日は徹夜になりそうだな。	It seems I'm going to be up all night tonight.
彼はきっと君が好きなんだ。	He must love you.
早く寝た。	I went to bed early.
トムはメアリーの喜ばせ方が分かる。	Tom knows how to make Mary happy.
水道が断水しました。	The water has been cut off.
ポーランドでは今日が投票日です。	Today is election day in Poland.
私は彼女に駅で会ったが、制服を着ていたので彼女だとわからなかった。	"I met her at the station, but I did not recognize her in uniform."
今は食事をする時間がない。	We don't have time to eat now.
トムは私より痩せてるよ。	Tom is thinner than me.
ボストンで会った。	We met in Boston.
テレビが観たい。	I want to watch TV.
彼らは車を修理しなければいけない。	They have to repair their car.
この帽子は１０ドルした。	This hat cost me $10.
テスト勉強、もっとやっとけばよかった。	I wish I had studied harder for the test.
「キャッチボールしようか」「よし、是非やろう」	"How about playing catch? ""Sure, why not?"""
ミシン持ってるけど、ほとんど使わないよ。	"I have a sewing machine, but I rarely use it."
私は彼の夢を見た。	I had a dream about him.
トムは日中辞典を買った。	Tom bought a Japanese-Chinese dictionary.
歯磨きはどこ？	Where's the toothpaste?
トムって今、忙しいかな？	Is Tom busy right now?
私の祖父は月面着陸は作り話だったと信じている。	My grandpa believes that the moon landing was a hoax.
それは見てないな。	I haven't seen that.
ここで降ります。	This is where I get off.
ボストンに行ったことはありますか？	Have you ever been to Boston?
自分たち同士で非難しあってもしょうがない。	We can't start second-guessing ourselves.
ベッドの下に猫がいる。	There is a cat under the bed.
招待客の中には市長とその夫人がいた。	Among the guests were the mayor and his wife.
何かアレルギーはありますか？	Are you allergic to anything?
お爺さんは休憩するために少し立ち止まった。	The old man stopped for a moment to rest.
トムは冷蔵庫の中を覗いた。	Tom looked in the refrigerator.
「塩を取って下さい」「はい、どうぞ」	"Pass me the salt, please. ""Here you are."""
東海道線は台風で麻痺状態になった。	The Tokaido Line was crippled by the typhoon.
面白かったよ。	That was interesting.
私は、かなづちです。	I'm a terrible swimmer.
私はそこにいてよかった。	I'm glad I was there.
妊娠しています。	I'm pregnant.
それ体に良くないよ。	It's not healthy for you.
私は肉より魚の方が好きです。	I like fish more than meat.
トムはここに来るの？	Is Tom coming here?
今日は独立記念日です。	Today is Independence Day.
あのいたずらっ子はさんざんたたいてやる必要がある。	That naughty child needs a good beating.
トムって結婚したことがあると思う？	Do you think Tom has ever been married?
普段ほど今日は忙しくないよ。	I'm not as busy today as I usually am.
高すぎる！	It is too expensive.
このレストランは料理がおいしいので有名だ。	This restaurant is famous for its excellent cuisine.
私は政治には全く興味がありません。	I am not interested in politics at all.
僕らの赤ちゃんはまだ話せない。	Our baby isn't talking yet.
明日遊びに行くからね。	I'm coming to see you tomorrow.
あり得ねぇー。	That's highly unlikely.
私たちは靴をはくのに慣れている。	We're accustomed to wearing shoes.
今すぐトムと話す必要があるんだ。	I have to talk to Tom right now.
トムは転んで膝をケガしたんだ。	Tom hurt his knee when he fell down.
ローマは一日にしてならず。	Rome wasn't built in a day.
トムんち行こうぜ、今から。	Let's go to Tom's house right now.
その男性は医者ではありません。	He is not a doctor.
バス停に行く道を教えてください。	Show me the way to the bus stop.
井の中の蛙、大海を知らず。	A frog in a well doesn't know the ocean.
バスはもう行ってしまった。	The bus has already gone.
嵐になりそうです。	There is going to be a storm.
今にも雨が降りそうだ。	It'll rain soon.
トムはメアリーを見て驚いてた？	Was Tom surprised to see Mary?
日が暮れてからは外出してはいけません。	Don't go out after it gets dark.
彼はおもちゃをたくさん持っているけれども、欲張りであったため、もっと欲しがった。	"Although he had many toys, his greed made him want more."
彼女は料理の腕を自負している。	She prides herself on her skill in cooking.
父はだいたいいつも七時に帰ってくる。	My father usually comes home at seven.
彼は仰向けに寝ていた。	He lay face up.
新しい自動車が必要です。	I need a new car.
彼は左腕を骨折した。	He broke his left arm.
彼女は彼に辞めるよう圧力をかけた。	She pressured him to quit.
高すぎる！	It's too expensive.
怖くなんてないさ。	I'm not frightened.
この工場ではロボットが従業員に取って代わった。	Robots have taken the place of men in this factory.
トムはトヨタの中古車を買った。	Tom bought a used Toyota.
彼はいけない子だ。	He is a bad boy.
不意に天気が変わった。	The weather changed abruptly.
私たちは夏の間は田舎で暮らします。	We live in the country during the summer.
手、空いてる？	Are you available?
誰もそのなぞを解くことができなかった。	No one could solve the puzzle.
料理は得意です。	I'm good at cooking.
誰も君を理解できないだろう。	No one is going to understand you.
トムは口が軽い。	Tom has a big mouth.
私たち友達でしょ？	Are we friends?
トムのことよく知ってる？	Do you know much about Tom?
この自転車、誰の？	Whose is this bicycle?
メアリーが運転することはないと、トムは思っていた。	Tom thought that Mary didn't drive a car.
叔母が私に新しいスカートを作ってくれた。	My aunt made me a new skirt.
トムは散歩に行った。	Tom went for a stroll.
彼女は留学するかもしれないとほのめかした。	She hinted that she might study abroad.
